årednie kursy CZK Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2025-04-01;0.1676;-0.06;063/A/NBP/2025
2025-03-31;0.1677;0.06;062/A/NBP/2025
2025-03-28;0.1676;-0.36;061/A/NBP/2025
2025-03-27;0.1682;0.54;060/A/NBP/2025
2025-03-26;0.1673;-0.06;059/A/NBP/2025
2025-03-25;0.1674;-0.12;058/A/NBP/2025
2025-03-24;0.1676;-0.12;057/A/NBP/2025
2025-03-21;0.1678;0.06;056/A/NBP/2025
2025-03-20;0.1677;0.06;055/A/NBP/2025
2025-03-19;0.1676;0.48;054/A/NBP/2025
2025-03-18;0.1668;-0.12;053/A/NBP/2025
2025-03-17;0.1670;0.24;052/A/NBP/2025
2025-03-14;0.1666;-0.42;051/A/NBP/2025
2025-03-13;0.1673;-0.42;050/A/NBP/2025
2025-03-12;0.1680;-0.06;049/A/NBP/2025
2025-03-11;0.1681;0.24;048/A/NBP/2025
2025-03-10;0.1677;0.54;047/A/NBP/2025
2025-03-07;0.1668;0.12;046/A/NBP/2025
2025-03-06;0.1666;0.48;045/A/NBP/2025
2025-03-05;0.1658;0.00;044/A/NBP/2025
2025-03-04;0.1658;-0.54;043/A/NBP/2025
2025-03-03;0.1667;0.36;042/A/NBP/2025
2025-02-28;0.1661;0.30;041/A/NBP/2025
2025-02-27;0.1656;-0.36;040/A/NBP/2025
2025-02-26;0.1662;0.36;039/A/NBP/2025
2025-02-25;0.1656;-0.12;038/A/NBP/2025
2025-02-24;0.1658;-0.36;037/A/NBP/2025
2025-02-21;0.1664;0.12;036/A/NBP/2025
2025-02-20;0.1662;0.36;035/A/NBP/2025
2025-02-19;0.1656;-0.12;034/A/NBP/2025
2025-02-18;0.1658;-0.24;033/A/NBP/2025
2025-02-17;0.1662;0.00;032/A/NBP/2025
2025-02-14;0.1662;-0.12;031/A/NBP/2025
2025-02-13;0.1664;0.06;030/A/NBP/2025
2025-02-12;0.1663;-0.12;029/A/NBP/2025
2025-02-11;0.1665;-0.24;028/A/NBP/2025
2025-02-10;0.1669;-0.12;027/A/NBP/2025
2025-02-07;0.1671;-0.24;026/A/NBP/2025
2025-02-06;0.1675;0.18;025/A/NBP/2025
2025-02-05;0.1672;-0.30;024/A/NBP/2025
