årednie kursy EUR Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2025-04-01;4.1818;-0.05;063/A/NBP/2025
2025-03-31;4.1839;0.05;062/A/NBP/2025
2025-03-28;4.1819;-0.22;061/A/NBP/2025
2025-03-27;4.1913;0.54;060/A/NBP/2025
2025-03-26;4.1686;0.05;059/A/NBP/2025
2025-03-25;4.1664;-0.40;058/A/NBP/2025
2025-03-24;4.1832;-0.35;057/A/NBP/2025
2025-03-21;4.1979;0.02;056/A/NBP/2025
2025-03-20;4.1972;0.06;055/A/NBP/2025
2025-03-19;4.1945;0.40;054/A/NBP/2025
2025-03-18;4.1776;0.00;053/A/NBP/2025
2025-03-17;4.1777;-0.03;052/A/NBP/2025
2025-03-14;4.1790;-0.41;051/A/NBP/2025
2025-03-13;4.1960;-0.14;050/A/NBP/2025
2025-03-12;4.2017;0.10;049/A/NBP/2025
2025-03-11;4.1977;0.29;048/A/NBP/2025
2025-03-10;4.1857;0.23;047/A/NBP/2025
2025-03-07;4.1760;-0.01;046/A/NBP/2025
2025-03-06;4.1766;0.53;045/A/NBP/2025
2025-03-05;4.1545;-0.06;044/A/NBP/2025
2025-03-04;4.1568;-0.62;043/A/NBP/2025
2025-03-03;4.1827;0.61;042/A/NBP/2025
2025-02-28;4.1575;0.49;041/A/NBP/2025
2025-02-27;4.1371;-0.06;040/A/NBP/2025
2025-02-26;4.1394;0.13;039/A/NBP/2025
2025-02-25;4.1339;-0.65;038/A/NBP/2025
2025-02-24;4.1609;-0.23;037/A/NBP/2025
2025-02-21;4.1705;-0.04;036/A/NBP/2025
2025-02-20;4.1723;0.34;035/A/NBP/2025
2025-02-19;4.1582;0.02;034/A/NBP/2025
2025-02-18;4.1574;-0.15;033/A/NBP/2025
2025-02-17;4.1635;0.01;032/A/NBP/2025
2025-02-14;4.1632;-0.05;031/A/NBP/2025
2025-02-13;4.1652;-0.17;030/A/NBP/2025
2025-02-12;4.1721;-0.15;029/A/NBP/2025
2025-02-11;4.1783;-0.21;028/A/NBP/2025
2025-02-10;4.1872;-0.06;027/A/NBP/2025
2025-02-07;4.1898;-0.42;026/A/NBP/2025
2025-02-06;4.2073;0.03;025/A/NBP/2025
2025-02-05;4.2059;-0.45;024/A/NBP/2025
2025-02-04;4.2249;-0.13;023/A/NBP/2025
2025-02-03;4.2305;0.42;022/A/NBP/2025
2025-01-31;4.2130;0.22;021/A/NBP/2025
2025-01-30;4.2039;-0.09;020/A/NBP/2025
2025-01-29;4.2077;-0.04;019/A/NBP/2025
2025-01-28;4.2092;-0.20;018/A/NBP/2025
2025-01-27;4.2176;0.18;017/A/NBP/2025
2025-01-24;4.2100;-0.19;016/A/NBP/2025
2025-01-23;4.2182;-0.66;015/A/NBP/2025
2025-01-22;4.2461;-0.22;014/A/NBP/2025
2025-01-21;4.2554;-0.08;013/A/NBP/2025
2025-01-20;4.2587;-0.24;012/A/NBP/2025
2025-01-17;4.2691;0.17;011/A/NBP/2025
2025-01-16;4.2620;0.02;010/A/NBP/2025
2025-01-15;4.2611;-0.29;009/A/NBP/2025
2025-01-14;4.2737;0.05;008/A/NBP/2025
2025-01-13;4.2715;0.14;007/A/NBP/2025
2025-01-10;4.2657;-0.32;006/A/NBP/2025
2025-01-09;4.2794;0.32;005/A/NBP/2025
2025-01-08;4.2656;0.33;004/A/NBP/2025
2025-01-07;4.2515;-0.48;003/A/NBP/2025
2025-01-03;4.2718;0.12;002/A/NBP/2025
2025-01-02;4.2668;-0.15;001/A/NBP/2025
2024-12-31;4.2730;-0.02;252/A/NBP/2024
2024-12-30;4.2738;-0.02;251/A/NBP/2024
2024-12-27;4.2747;0.02;250/A/NBP/2024
2024-12-24;4.2739;0.28;249/A/NBP/2024
2024-12-23;4.2621;0.12;248/A/NBP/2024
2024-12-20;4.2572;-0.14;247/A/NBP/2024
2024-12-19;4.2633;0.01;246/A/NBP/2024
2024-12-18;4.2628;0.07;245/A/NBP/2024
2024-12-17;4.2599;-0.05;244/A/NBP/2024
2024-12-16;4.2622;-0.23;243/A/NBP/2024
2024-12-13;4.2722;-0.22;242/A/NBP/2024
2024-12-12;4.2818;0.37;241/A/NBP/2024
2024-12-11;4.2661;-0.03;240/A/NBP/2024
2024-12-10;4.2672;0.21;239/A/NBP/2024
2024-12-09;4.2581;-0.21;238/A/NBP/2024
2024-12-06;4.2669;-0.06;237/A/NBP/2024
2024-12-05;4.2695;-0.48;236/A/NBP/2024
2024-12-04;4.2899;-0.07;235/A/NBP/2024
2024-12-03;4.2927;0.01;234/A/NBP/2024
2024-12-02;4.2923;-0.28;233/A/NBP/2024
2024-11-29;4.3043;-0.10;232/A/NBP/2024
2024-11-28;4.3085;-0.01;231/A/NBP/2024
2024-11-27;4.3090;-0.16;230/A/NBP/2024
2024-11-26;4.3157;-0.37;229/A/NBP/2024
2024-11-25;4.3319;-0.26;228/A/NBP/2024
2024-11-22;4.3430;-0.09;227/A/NBP/2024
2024-11-21;4.3469;0.15;226/A/NBP/2024
2024-11-20;4.3404;0.22;225/A/NBP/2024
2024-11-19;4.3308;-0.03;224/A/NBP/2024
2024-11-18;4.3320;0.28;223/A/NBP/2024
2024-11-15;4.3198;-0.39;222/A/NBP/2024
2024-11-14;4.3365;-0.12;221/A/NBP/2024
2024-11-13;4.3416;-0.35;220/A/NBP/2024
2024-11-12;4.3570;0.75;219/A/NBP/2024
2024-11-08;4.3244;-0.43;218/A/NBP/2024
2024-11-07;4.3431;-0.53;217/A/NBP/2024
2024-11-06;4.3662;0.13;216/A/NBP/2024
2024-11-05;4.3607;0.38;215/A/NBP/2024
2024-11-04;4.3443;-0.20;214/A/NBP/2024
2024-10-31;4.3530;0.42;213/A/NBP/2024
2024-10-30;4.3350;-0.44;212/A/NBP/2024
2024-10-29;4.3542;0.15;211/A/NBP/2024
2024-10-28;4.3478;-0.13;210/A/NBP/2024
2024-10-25;4.3533;0.32;209/A/NBP/2024
2024-10-24;4.3396;0.12;208/A/NBP/2024
2024-10-23;4.3344;0.43;207/A/NBP/2024
2024-10-22;4.3159;-0.04;206/A/NBP/2024
