årednie kursy HUF Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2025-04-01;1.0379;-0.30;063/A/NBP/2025
2025-03-31;1.0410;0.22;062/A/NBP/2025
2025-03-28;1.0387;-0.76;061/A/NBP/2025
2025-03-27;1.0467;0.50;060/A/NBP/2025
2025-03-26;1.0415;-0.30;059/A/NBP/2025
2025-03-25;1.0446;-0.50;058/A/NBP/2025
2025-03-24;1.0499;-0.15;057/A/NBP/2025
2025-03-21;1.0515;0.04;056/A/NBP/2025
2025-03-20;1.0511;0.05;055/A/NBP/2025
2025-03-19;1.0506;0.08;054/A/NBP/2025
2025-03-18;1.0498;0.33;053/A/NBP/2025
2025-03-17;1.0463;0.13;052/A/NBP/2025
2025-03-14;1.0449;-0.50;051/A/NBP/2025
2025-03-13;1.0501;0.22;050/A/NBP/2025
2025-03-12;1.0478;0.02;049/A/NBP/2025
2025-03-11;1.0476;-0.11;048/A/NBP/2025
2025-03-10;1.0488;0.18;047/A/NBP/2025
2025-03-07;1.0469;0.34;046/A/NBP/2025
2025-03-06;1.0434;-0.05;045/A/NBP/2025
2025-03-05;1.0439;-0.02;044/A/NBP/2025
2025-03-04;1.0441;0.34;043/A/NBP/2025
2025-03-03;1.0406;0.24;042/A/NBP/2025
2025-02-28;1.0381;0.27;041/A/NBP/2025
2025-02-27;1.0353;-0.02;040/A/NBP/2025
2025-02-26;1.0355;0.39;039/A/NBP/2025
2025-02-25;1.0315;-0.18;038/A/NBP/2025
2025-02-24;1.0334;0.26;037/A/NBP/2025
2025-02-21;1.0307;-0.60;036/A/NBP/2025
2025-02-20;1.0369;0.13;035/A/NBP/2025
2025-02-19;1.0356;0.07;034/A/NBP/2025
2025-02-18;1.0349;0.06;033/A/NBP/2025
2025-02-17;1.0343;-0.31;032/A/NBP/2025
2025-02-14;1.0375;-0.08;031/A/NBP/2025
2025-02-13;1.0383;0.09;030/A/NBP/2025
2025-02-12;1.0374;0.19;029/A/NBP/2025
2025-02-11;1.0354;0.19;028/A/NBP/2025
2025-02-10;1.0334;-0.21;027/A/NBP/2025
2025-02-07;1.0356;0.19;026/A/NBP/2025
2025-02-06;1.0336;-0.14;025/A/NBP/2025
2025-02-05;1.0350;-0.04;024/A/NBP/2025
2025-02-04;1.0354;0.17;023/A/NBP/2025
2025-02-03;1.0336;0.07;022/A/NBP/2025
2025-01-31;1.0329;0.10;021/A/NBP/2025
2025-01-30;1.0319;0.08;020/A/NBP/2025
2025-01-29;1.0311;0.19;019/A/NBP/2025
2025-01-28;1.0291;-0.27;018/A/NBP/2025
2025-01-27;1.0319;0.31;017/A/NBP/2025
2025-01-24;1.0287;0.17;016/A/NBP/2025
2025-01-23;1.0270;-0.35;015/A/NBP/2025
2025-01-22;1.0306;-0.16;014/A/NBP/2025
2025-01-21;1.0322;0.17;013/A/NBP/2025
2025-01-20;1.0304;-0.10;012/A/NBP/2025
2025-01-17;1.0314;-0.31;011/A/NBP/2025
2025-01-16;1.0346;-0.15;010/A/NBP/2025
2025-01-15;1.0362;-0.01;009/A/NBP/2025
2025-01-14;1.0363;0.48;008/A/NBP/2025
2025-01-13;1.0313;-0.07;007/A/NBP/2025
2025-01-10;1.0320;-0.20;006/A/NBP/2025
2025-01-09;1.0341;0.65;005/A/NBP/2025
2025-01-08;1.0274;0.47;004/A/NBP/2025
2025-01-07;1.0226;-0.71;003/A/NBP/2025
2025-01-03;1.0299;-0.67;002/A/NBP/2025
2025-01-02;1.0368;-0.51;001/A/NBP/2025
2024-12-31;1.0421;0.28;252/A/NBP/2024
2024-12-30;1.0392;-0.09;251/A/NBP/2024
2024-12-27;1.0401;0.36;250/A/NBP/2024
2024-12-24;1.0364;0.84;249/A/NBP/2024
2024-12-23;1.0278;-0.05;248/A/NBP/2024
2024-12-20;1.0283;-0.01;247/A/NBP/2024
2024-12-19;1.0284;-1.13;246/A/NBP/2024
2024-12-18;1.0402;-0.12;245/A/NBP/2024
2024-12-17;1.0414;-0.16;244/A/NBP/2024
2024-12-16;1.0431;0.03;243/A/NBP/2024
2024-12-13;1.0428;-0.18;242/A/NBP/2024
2024-12-12;1.0447;0.64;241/A/NBP/2024
2024-12-11;1.0381;-0.11;240/A/NBP/2024
2024-12-10;1.0392;0.37;239/A/NBP/2024
2024-12-09;1.0354;0.33;238/A/NBP/2024
2024-12-06;1.0320;-0.25;237/A/NBP/2024
2024-12-05;1.0346;-0.15;236/A/NBP/2024
2024-12-04;1.0362;0.05;235/A/NBP/2024
2024-12-03;1.0357;-0.08;234/A/NBP/2024
2024-12-02;1.0365;-0.33;233/A/NBP/2024
2024-11-29;1.0399;0.05;232/A/NBP/2024
2024-11-28;1.0394;-0.91;231/A/NBP/2024
2024-11-27;1.0489;-0.12;230/A/NBP/2024
2024-11-26;1.0502;-0.14;229/A/NBP/2024
2024-11-25;1.0517;-0.44;228/A/NBP/2024
2024-11-22;1.0563;-0.09;227/A/NBP/2024
2024-11-21;1.0573;-0.19;226/A/NBP/2024
2024-11-20;1.0593;-0.42;225/A/NBP/2024
2024-11-19;1.0638;0.60;224/A/NBP/2024
2024-11-18;1.0575;-0.57;223/A/NBP/2024
2024-11-15;1.0636;0.05;222/A/NBP/2024
2024-11-14;1.0631;0.12;221/A/NBP/2024
2024-11-13;1.0618;-0.12;220/A/NBP/2024
2024-11-12;1.0631;-0.18;219/A/NBP/2024
2024-11-08;1.0650;-0.19;218/A/NBP/2024
2024-11-07;1.0670;0.40;217/A/NBP/2024
2024-11-06;1.0628;-0.24;216/A/NBP/2024
2024-11-05;1.0654;0.00;215/A/NBP/2024
2024-11-04;1.0654;-0.04;214/A/NBP/2024
2024-10-31;1.0658;-0.02;213/A/NBP/2024
2024-10-30;1.0660;-0.95;212/A/NBP/2024
2024-10-29;1.0762;0.11;211/A/NBP/2024
2024-10-28;1.0750;-0.19;210/A/NBP/2024
2024-10-25;1.0771;-0.06;209/A/NBP/2024
2024-10-24;1.0777;-0.12;208/A/NBP/2024
2024-10-23;1.0790;0.21;207/A/NBP/2024
2024-10-22;1.0767;0.12;206/A/NBP/2024
2024-10-21;1.0754;-0.07;205/A/NBP/2024
2024-10-18;1.0761;0.10;204/A/NBP/2024
2024-10-17;1.0750;0.26;203/A/NBP/2024
2024-10-16;1.0722;0.07;202/A/NBP/2024
2024-10-15;1.0715;0.07;201/A/NBP/2024
2024-10-14;1.0708;0.02;200/A/NBP/2024
2024-10-11;1.0706;-0.44;199/A/NBP/2024
2024-10-10;1.0753;-0.05;198/A/NBP/2024
2024-10-09;1.0758;-0.12;197/A/NBP/2024
2024-10-08;1.0771;0.14;196/A/NBP/2024
2024-10-07;1.0756;0.18;195/A/NBP/2024
2024-10-04;1.0737;-0.08;194/A/NBP/2024
2024-10-03;1.0746;-0.20;193/A/NBP/2024
2024-10-02;1.0768;-0.17;192/A/NBP/2024
2024-10-01;1.0786;0.20;191/A/NBP/2024
2024-09-30;1.0764;-0.10;190/A/NBP/2024
2024-09-27;1.0775;0.01;189/A/NBP/2024
2024-09-26;1.0774;-0.16;188/A/NBP/2024
2024-09-25;1.0791;-0.12;187/A/NBP/2024
2024-09-24;1.0804;-0.40;186/A/NBP/2024
2024-09-23;1.0847;0.00;185/A/NBP/2024
2024-09-20;1.0847;0.29;184/A/NBP/2024
2024-09-19;1.0816;-0.06;183/A/NBP/2024
2024-09-18;1.0822;-0.18;182/A/NBP/2024
2024-09-17;1.0842;-0.09;181/A/NBP/2024
2024-09-16;1.0852;0.04;180/A/NBP/2024
2024-09-13;1.0848;0.05;179/A/NBP/2024
2024-09-12;1.0843;0.31;178/A/NBP/2024
2024-09-11;1.0810;0.25;177/A/NBP/2024
2024-09-10;1.0783;-0.57;176/A/NBP/2024
2024-09-09;1.0845;-0.14;175/A/NBP/2024
2024-09-06;1.0860;-0.12;174/A/NBP/2024
2024-09-05;1.0873;0.02;173/A/NBP/2024
2024-09-04;1.0871;-0.09;172/A/NBP/2024
2024-09-03;1.0881;-0.18;171/A/NBP/2024
2024-09-02;1.0901;0.00;170/A/NBP/2024
2024-08-30;1.0901;-0.07;169/A/NBP/2024
2024-08-29;1.0909;-0.04;168/A/NBP/2024
2024-08-28;1.0913;0.50;167/A/NBP/2024
2024-08-27;1.0859;0.21;166/A/NBP/2024
2024-08-26;1.0836;-0.24;165/A/NBP/2024
2024-08-23;1.0862;-0.16;164/A/NBP/2024
2024-08-22;1.0879;-0.32;163/A/NBP/2024
2024-08-21;1.0914;0.89;162/A/NBP/2024
2024-08-20;1.0818;-0.29;161/A/NBP/2024
2024-08-19;1.0850;0.47;160/A/NBP/2024
